,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2024,Capex2024,Opex2024,FixedOpex2024,VarOpex2024
39,2024,DIST_BIM,,,15.547291,,,,,,168.42381,,,,122.34827,,,15.547291,168.42381,,,,15.547291,,122.34827,15.547291,,,,168.4238,,168.4238
40,2025,DIST_BIM,,,15.80812,,,,,,171.24936,,,,118.43188,,,15.80812,171.24936,,,,15.80812,,118.43188,15.80812,,,,163.0325,,163.0325
41,2026,DIST_BIM,,,16.055078,,,,,,175.25081,,,,115.38384,,,16.055078,175.25081,,,,16.055078,,115.38384,16.055078,,,,158.8366,,158.8366
42,2027,DIST_BIM,,,37.23954,,,,,,409.56791,,,,256.7179,,,37.23954,409.56791,,,,37.23954,,256.7179,37.23954,,,,353.3961,,353.3961
43,2028,DIST_BIM,,,36.482941,,,,,,404.25653,,,,241.23069,,,36.482941,404.25653,,,,36.482941,,241.23069,36.482941,,,,332.0765,,332.0765
44,2029,DIST_BIM,,,35.716926,,,,,,398.71876,,,,226.51004,,,35.716926,398.71876,,,,35.716926,,226.51004,35.716926,,,,311.8122,,311.8122
45,2030,DIST_BIM,,,34.950265,,,,,,393.04718,,,,212.57431,,,34.950265,393.04718,,,,34.950265,,212.57431,34.950265,,,,292.6284,,292.6284
46,2031,DIST_BIM,,,34.161132,,,,,,386.99438,,,,199.25812,,,34.161132,386.99438,,,,34.161132,,199.25812,34.161132,,,,274.2974,,274.2974
47,2032,DIST_BIM,,,33.375719,,,,,,380.85366,,,,186.68731,,,33.375719,380.85366,,,,33.375719,,186.68731,33.375719,,,,256.9925,,256.9925
48,2033,DIST_BIM,,,32.595154,,,,,,374.63566,,,,174.82803,,,32.595154,374.63566,,,,32.595154,,174.82803,32.595154,,,,240.6671,,240.6671
49,2034,DIST_BIM,,,31.819508,,,,,,368.34899,,,,163.6465,,,31.819508,368.34899,,,,31.819508,,163.6465,31.819508,,,,225.2747,,225.2747
50,2035,DIST_BIM,,,31.049912,,,,,,362.00471,,,,153.11113,,,31.049912,362.00471,,,,31.049912,,153.11113,31.049912,,,,210.7717,,210.7717
51,2036,DIST_BIM,,,30.240183,,,,,,355.06209,,,,142.96908,,,30.240183,355.06209,,,,30.240183,,142.96908,30.240183,,,,196.8103,,196.8103
52,2037,DIST_BIM,,,29.433987,,,,,,348.02746,,,,133.41253,,,29.433987,348.02746,,,,29.433987,,133.41253,29.433987,,,,183.6548,,183.6548
53,2038,DIST_BIM,,,28.632422,,,,,,340.9148,,,,124.41543,,,28.632422,340.9148,,,,28.632422,,124.41543,28.632422,,,,171.2694,,171.2694
54,2039,DIST_BIM,,,27.833416,,,,,,333.69761,,,,115.93826,,,27.833416,333.69761,,,,27.833416,,115.93826,27.833416,,,,159.5998,,159.5998
55,2040,DIST_BIM,,,27.03807,,,,,,326.39547,,,,107.96005,,,27.03807,326.39547,,,,27.03807,,107.96005,27.03807,,,,148.6171,,148.6171
56,2041,DIST_BIM,,,26.200279,,,,,,318.44606,,,,100.27672,,,26.200279,318.44606,,,,26.200279,,100.27672,26.200279,,,,138.0403,,138.0403
57,2042,DIST_BIM,,,25.365952,,,,,,310.40062,,,,93.053371,,,25.365952,310.40062,,,,25.365952,,93.053371,25.365952,,,,128.0966,,128.0966
58,2043,DIST_BIM,,,24.532994,,,,,,302.23422,,,,86.257814,,,24.532994,302.23422,,,,24.532994,,86.257814,24.532994,,,,118.7419,,118.7419
59,2044,DIST_BIM,,,23.702485,,,,,,293.95822,,,,79.870374,,,23.702485,293.95822,,,,23.702485,,79.870374,23.702485,,,,109.949,,109.949
60,2045,DIST_BIM,,,22.87445,,,,,,285.57835,,,,73.870438,,,22.87445,285.57835,,,,22.87445,,73.870438,22.87445,,,,101.6895,,101.6895
61,2046,DIST_BIM,,,22.004049,,,,,,276.52929,,,,68.097601,,,22.004049,276.52929,,,,22.004049,,68.097601,22.004049,,,,93.7427,,93.7427
62,2047,DIST_BIM,,,21.134077,,,,,,267.34185,,,,62.676236,,,21.134077,267.34185,,,,21.134077,,62.676236,21.134077,,,,86.2797,,86.2797
