REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
RD,All,REF_FOI,E1CRU,2028,44.6305710547334
RD,All,REF_FOI,E1CRU,2029,42.1439752212352
RD,All,REF_FOI,E1CRU,2030,39.6571251677371
RD,All,REF_FOI,E1CRU,2031,40.3439713707832
RD,All,REF_FOI,E1CRU,2032,41.030817573829296
RD,All,REF_FOI,E1CRU,2033,41.7176637768755
RD,All,REF_FOI,E1CRU,2034,42.4045099799216
RD,All,REF_FOI,E1CRU,2035,43.091356182967694
RD,All,REF_FOI,E1CRU,2036,43.7782023860139
RD,All,REF_FOI,E1CRU,2037,44.46504858906
RD,All,REF_FOI,E1CRU,2038,45.1518947921061
RD,All,REF_FOI,E1CRU,2039,45.8387409951523
RD,All,REF_FOI,E1CRU,2040,46.5255871981984
RD,All,REF_FOI,E1CRU,2041,47.0371638561994
RD,All,REF_FOI,E1CRU,2042,47.548740514200496
RD,All,REF_FOI,E1CRU,2043,48.0603171722015
RD,All,REF_FOI,E1CRU,2044,48.5718938302026
RD,All,REF_FOI,E1CRU,2045,49.0834704882036
RD,All,REF_FOI,E1CRU,2046,49.5950471462047
RD,All,REF_FOI,E1CRU,2047,50.1066238042057
RD,All,REF_FOI,E1CRU,2048,50.6182004622067
RD,All,REF_FOI,E1CRU,2049,51.1297771202078
RD,All,REF_FOI,E1CRU,2050,51.6413537782088
RD,All,PPBIM,E1BIM,2018,6.82153992
RD,All,PPBIM,E1BIM,2019,6.742610120000001
RD,All,PPBIM,E1BIM,2020,7.642475750000002
RD,All,PPBIM,E1BIM,2021,8.519961
RD,All,PPBIM,E1BIM,2022,7.59051911
RD,All,PPBIM,E1BIM,2023,8.437905629999998
RD,All,PPBIM,E1BIM,2024,7.84948527
RD,All,PPBIM,E1BIM,2025,7.84948527
RD,All,PPBIM,E1BIM,2026,7.84948527
RD,All,PPBIM,E1BIM,2027,28.78285707
RD,All,PPBIM,E1BIM,2028,27.7594713
RD,All,PPBIM,E1BIM,2029,26.73608553
RD,All,PPBIM,E1BIM,2030,25.71269976
RD,All,PPBIM,E1BIM,2031,24.690372300000003
RD,All,PPBIM,E1BIM,2032,23.66698653
RD,All,PPBIM,E1BIM,2033,22.64360076
RD,All,PPBIM,E1BIM,2034,21.62021499
RD,All,PPBIM,E1BIM,2035,20.59788753
RD,All,PPBIM,E1BIM,2036,19.57450176
RD,All,PPBIM,E1BIM,2037,18.55111599
RD,All,PPBIM,E1BIM,2038,17.52878853
RD,All,PPBIM,E1BIM,2039,16.505402760000003
RD,All,PPBIM,E1BIM,2040,15.482016989999998
RD,All,PPBIM,E1BIM,2041,14.45863122
RD,All,PPBIM,E1BIM,2042,13.43630376
RD,All,PPBIM,E1BIM,2043,12.41291799
RD,All,PPBIM,E1BIM,2044,11.38953222
RD,All,PPBIM,E1BIM,2045,10.36614645
RD,All,PPBIM,E1BIM,2046,9.34381899
RD,All,PPBIM,E1BIM,2047,8.32043322
RD,All,PPBIM,E1BIM,2048,7.29704745
RD,All,PPBIM,E1BIM,2049,6.27366168
RD,All,PPBIM,E1BIM,2050,5.25133422
RD,All,PPBGS,E1BGS,2018,27.50591028864001
RD,All,PPBGS,E1BGS,2019,22.591999999999995
RD,All,PPBGS,E1BGS,2020,17.40799999999999
RD,All,PPBGS,E1BGS,2021,13.365491630475098
RD,All,PPBGS,E1BGS,2022,11.324396898240211
