REGION,TECHNOLOGY,VALUE
RD,T4LPG_TUR,123.56618897727272
RD,T4ELE_TUR,4.67325231188812
RD,T4ELE_HEA,4.510080359283177
RD,T4DSL_HEA,587.3595875977419
RD,T4GSL_HEA,0.2024973299999999
RD,T4LPG_HEA,16.65120153240137
RD,T4NGS_HEA,0.5700846476344085
RD,T4DSL_LIG,1083.4922339074192
RD,T4GSL_LIG,560.5166775292472
RD,T4LPG_LIG,215.57596548
RD,T4ELE_LIG,25.366949941720502
RD,TRAUTDSL,13.0818
RD,TRAUTGSL,1035.8585
RD,TRAUTLPG,300.87639999999993
RD,TRAUTELE,0.0917
RD,TRAUTHG,22.6598
RD,TRTAXGSL,13.076000000000002
RD,TRTAXLPG,55.85979999999999
RD,TRMOTGSL,1794.2216
RD,TRMOTELE,77.48420909090902
RD,TRSUVDSL,78.71900000000002
RD,TRSUVGSL,524.6376312499999
RD,TRSUVLPG,142.9699
RD,TRSUVNGS,0.8580999999999998
RD,TRBPUDSL,17.436303335664338
RD,TRBPUGSL,32.347500000000004
RD,TRBPULPG,9.925734818181825
RD,TRBPUELE,0.6320991328671228
RD,TRBTURDSL,23.585909090909087
RD,TRBTURGSL,43.770900000000005
RD,TRBTURLPG,13.787772727272722
RD,TRBTURELE,0.8556083916083926
RD,TRMBSDSL,144.1243
RD,TRMBSGSL,157.3884
RD,TRMBSLPG,46.6031
RD,TRMBSELE,16.961814353499403
RD,TRYTKDSL,73.2633770609319
RD,TRYTKGSL,0.7441000000000002
RD,TRYTKLPG,2.142308960573468
RD,TRYTKELE,1.8737168458781448
RD,TRYTKHYD,0.3776620071684586
RD,TRYLFDSL,321.52521935483867
RD,TRYLFGSL,138.01253978494623
RD,TRYLFLPG,95.63513870967742
RD,TRYLFELE,26.180374193548456
RD,Techs_Auto,1372.5681999999997
RD,Techs_Taxi,68.93580000000001
RD,Techs_Motos,1871.7058090909093
RD,Techs_SUV,747.1846312499998
RD,Techs_Buses_Pub,60.33163728671329
RD,Techs_Buses_Tur,81.9542929479502
RD,Techs_Buses_Micro,365.02581435349936
RD,Techs_He_Freight,78.40116487455197
RD,Techs_Li_Freight,581.3280645161291
RD,PROD_CAL,95.50809999999998
RD,PROD_FERRO,2.7599
RD,IWW,92.37783055089987
RD,R134a,51.46309999999999
RD,R404A,6.3851
RD,R410A,5.167100000000001
