REGION,EMISSION,YEAR,VALUE
RD,CO2e_sources,2021,18.467744991458915
RD,CO2e_sources,2022,19.668483098794887
RD,CO2e_sources,2023,19.990422903000056
RD,CO2e_sources,2024,21.37648887943228
RD,CO2e_sources,2025,21.589680606901997
RD,CO2e_sources,2026,21.81016096552676
RD,CO2e_sources,2027,22.03173083638065
RD,CO2e_sources,2028,22.257267824943437
RD,CO2e_sources,2029,22.480516464425687
RD,CO2e_sources,2030,22.70365866392428
RD,CO2e_sources,2031,22.912635705908688
RD,CO2e_sources,2032,23.12161274789312
RD,CO2e_sources,2033,23.330584179877537
RD,CO2e_sources,2034,23.539561221861955
RD,CO2e_sources,2035,23.74853826384638
RD,CO2e_sources,2036,23.9575153058308
RD,CO2e_sources,2037,24.16649234781523
RD,CO2e_sources,2038,24.375469389799648
RD,CO2e_sources,2039,24.584446431784077
RD,CO2e_sources,2040,24.7934178637685
RD,CO2e_sources,2041,24.967509501904885
RD,CO2e_sources,2042,25.141601140041267
RD,CO2e_sources,2043,25.315692778177663
RD,CO2e_sources,2044,25.490924868163045
RD,CO2e_sources,2045,25.66614318753075
RD,CO2e_sources,2046,25.841385477531663
RD,CO2e_sources,2047,26.016633060756583
RD,CO2e_sources,2048,26.191859964584506
RD,CO2e_sources,2049,26.3670831450132
RD,CO2e_sources,2050,26.54233931021504
RD,turismo_residuos,2018,2.2579
RD,turismo_residuos,2019,2.297
RD,turismo_residuos,2020,2.2646
RD,turismo_residuos,2021,2.5015
RD,turismo_residuos,2022,2.6781
RD,turismo_residuos,2023,2.775
RD,turismo_residuos,2024,2.8554
RD,turismo_residuos,2025,3.1322307683893933
RD,turismo_residuos,2026,3.2569458339008825
RD,turismo_residuos,2027,3.3811705561111363
RD,turismo_residuos,2028,3.50140043166253
RD,turismo_residuos,2029,3.625163275711409
RD,turismo_residuos,2030,3.749960034009903
RD,turismo_residuos,2031,3.8830096931848153
RD,turismo_residuos,2032,4.015257024590331
RD,turismo_residuos,2033,4.146695950679185
RD,turismo_residuos,2034,4.277268127329913
RD,turismo_residuos,2035,4.4069391956462765
RD,turismo_residuos,2036,4.5503394485728155
RD,turismo_residuos,2037,4.693141542206916
RD,turismo_residuos,2038,4.8356792758011125
RD,turismo_residuos,2039,4.977785655345658
RD,turismo_residuos,2040,5.119490686949123
RD,turismo_residuos,2041,5.276398794514071
RD,turismo_residuos,2042,5.4336387806943085
RD,turismo_residuos,2043,5.590881789521784
RD,turismo_residuos,2044,5.748384477117464
RD,turismo_residuos,2045,5.905539873312895
RD,turismo_residuos,2046,6.0798367101643045
RD,turismo_residuos,2047,6.254895587957014
RD,turismo_residuos,2048,6.430333144627471
RD,turismo_residuos,2049,6.6065593232419975
RD,turismo_residuos,2050,6.7832295289125835
RD,CO2e_PP,2018,8.184518333333337
RD,CO2e_PP,2019,10.226346111111116
RD,CO2e_PP,2020,12.477007500000012
RD,CO2e_PP,2021,13.48757972222224
RD,CO2e_PP,2022,13.98915472222224
RD,CO2e_PP,2023,14.089354722222245
RD,CO2e_PP,2024,16.257085000000025
RD,CO2e_PP,2025,16.348571944444473
RD,CO2e_PP,2026,16.31230972222225
RD,CO2e_PP,2027,16.276076388888917
RD,CO2e_PP,2028,16.239827222222253
RD,CO2e_PP,2029,16.203593888888918
RD,CO2e_PP,2030,16.167344722222253
RD,CO2e_PP,2031,16.333176388888923
RD,CO2e_PP,2032,16.655599722222252
RD,CO2e_PP,2033,16.821418333333366
RD,CO2e_PP,2034,16.98725000000003
RD,CO2e_PP,2035,17.1530816666667
RD,CO2e_PP,2036,17.318913333333366
RD,CO2e_PP,2037,17.484745000000032
RD,CO2e_PP,2038,17.6505766666667
RD,CO2e_PP,2039,17.81640833333337
RD,CO2e_PP,2040,17.98222694444448
RD,CO2e_PP,2041,18.148058611111143
RD,CO2e_PP,2042,18.313890277777816
RD,CO2e_PP,2043,18.47972194444448
RD,CO2e_PP,2044,18.64555361111115
RD,CO2e_PP,2045,18.811385277777816
RD,CO2e_PP,2046,18.97720388888893
RD,CO2e_PP,2047,19.1430355555556
RD,CO2e_PP,2048,19.30886722222226
RD,CO2e_PP,2049,19.474698888888927
RD,CO2e_PP,2050,19.6405305555556
RD,CO2e_DE,2018,7.3373036856725
RD,CO2e_DE,2019,9.343187506101431
RD,CO2e_DE,2020,8.422153505859542
RD,CO2e_DE,2021,9.517397344884046
RD,CO2e_DE,2022,10.349908596214378
RD,CO2e_DE,2023,10.440028653028293
RD,CO2e_DE,2024,10.842925428096567
RD,CO2e_DE,2025,11.248673662776024
RD,CO2e_DE,2026,11.64614274657296
RD,CO2e_DE,2027,12.044881171158462
RD,CO2e_DE,2028,12.448110086022034
RD,CO2e_DE,2029,12.848848535750854
RD,CO2e_DE,2030,13.24952903091279
RD,CO2e_DE,2031,13.6165061434566
RD,CO2e_DE,2032,13.9834832560004
RD,CO2e_DE,2033,14.35046036854422
RD,CO2e_DE,2034,14.717437481088028
RD,CO2e_DE,2035,15.08441459363184
RD,CO2e_DE,2036,15.45139170617565
RD,CO2e_DE,2037,15.818368818719462
RD,CO2e_DE,2038,16.185345931263267
RD,CO2e_DE,2039,16.55232304380709
RD,CO2e_DE,2040,16.919300156350907
RD,CO2e_DE,2041,17.195725503567765
RD,CO2e_DE,2042,17.472150850784637
RD,CO2e_DE,2043,17.748576198001523
RD,CO2e_DE,2044,18.02500154521839
RD,CO2e_DE,2045,18.301426892435256
RD,CO2e_DE,2046,18.577852239652135
RD,CO2e_DE,2047,18.85427758686901
RD,CO2e_DE,2048,19.130702934085868
RD,CO2e_DE,2049,19.40712828130276
RD,CO2e_DE,2050,19.68355362851961
