REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RD,All,DIST_FIR,1,2018,12.49717932
RD,All,DIST_FIR,1,2019,18.28672178955596
RD,All,DIST_FIR,1,2020,18.521440092778167
RD,All,DIST_FIR,1,2021,18.754357785215205
RD,All,DIST_FIR,1,2022,18.908164191412528
RD,All,DIST_FIR,1,2023,19.18731849611549
RD,All,DIST_FIR,1,2024,19.987885449804757
RD,All,DIST_FIR,1,2025,20.7964122664841
RD,All,DIST_FIR,1,2026,21.600075796679395
RD,All,DIST_FIR,1,2027,22.40373932687479
RD,All,DIST_FIR,1,2028,23.207402857070083
RD,All,DIST_FIR,1,2029,24.01106638726537
RD,All,DIST_FIR,1,2030,24.814729917460664
RD,All,DIST_FIR,1,2031,25.56336207460473
RD,All,DIST_FIR,1,2032,26.31199423174879
RD,All,DIST_FIR,1,2033,27.06062638889285
RD,All,DIST_FIR,1,2034,27.80925854603691
RD,All,DIST_FIR,1,2035,28.557890703180973
RD,All,DIST_FIR,1,2036,29.306522860325035
RD,All,DIST_FIR,1,2037,30.055155017469097
RD,All,DIST_FIR,1,2038,30.80378717461316
RD,All,DIST_FIR,1,2039,31.55241933175732
RD,All,DIST_FIR,1,2040,32.30105148890138
RD,All,DIST_FIR,1,2041,32.87328339734844
RD,All,DIST_FIR,1,2042,33.445515305795595
RD,All,DIST_FIR,1,2043,34.01774721424276
RD,All,DIST_FIR,1,2044,34.58997912268982
RD,All,DIST_FIR,1,2045,35.16221103113698
RD,All,DIST_FIR,1,2046,35.734442939584135
RD,All,DIST_FIR,1,2047,36.306674848031285
RD,All,DIST_FIR,1,2048,36.87890675647835
RD,All,DIST_FIR,1,2049,37.45113866492552
RD,All,DIST_FIR,1,2050,38.023370573372674
RD,All,DIST_BIM,1,2018,18.34059952354574
RD,All,DIST_BIM,1,2019,17.4585207048427
RD,All,DIST_BIM,1,2020,17.71480421121018
RD,All,DIST_BIM,1,2021,17.98773618411346
RD,All,DIST_BIM,1,2022,14.79655009431621
RD,All,DIST_BIM,1,2023,15.79282997172844
RD,All,DIST_BIM,1,2024,15.54986833481113
RD,All,DIST_BIM,1,2025,15.90074288029666
RD,All,DIST_BIM,1,2026,16.255019295127692
RD,All,DIST_BIM,1,2027,37.54266750995872
RD,All,DIST_BIM,1,2028,36.873558154789755
RD,All,DIST_BIM,1,2029,36.20444879962078
RD,All,DIST_BIM,1,2030,35.53533944445181
RD,All,DIST_BIM,1,2031,34.8536790899452
RD,All,DIST_BIM,1,2032,34.1709604254385
RD,All,DIST_BIM,1,2033,33.4882417609319
RD,All,DIST_BIM,1,2034,32.805523096425304
RD,All,DIST_BIM,1,2035,32.1238627419186
RD,All,DIST_BIM,1,2036,31.441144077412
RD,All,DIST_BIM,1,2037,30.7584254129054
RD,All,DIST_BIM,1,2038,30.076765058398696
