block,o_id,outcome,level,o1_fam,o1_col,o2_fam,o2_col,family,column,period,base_thr,thr_type,thr_range,thr_value,thr_value_norm,prim_option,coverage,density,avg_cov_dev,driver_col,min,max,min_norm,max_norm,query_type
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,22-30,Low,Low,77.70347637282995,-0.0006252014731741647,0.7770347637282995,base,0.7293676312968917,0.9763271162123386,0.8528473737546152,Freight fleet_direct,292163.1236,345454.12425,0.0,0.8156082555557156,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,38.6258758321199,-0.005585033594476492,0.38625875832119905,base,0.7065727699530516,0.5216637781629117,0.6141182740579816,Passenger rail and urban interventions_direct,0.006655239262357045,0.008353278261785547,0.6021616013517659,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,38.6258758321199,-0.005585033594476492,0.38625875832119905,base,0.7065727699530516,0.5216637781629117,0.6141182740579816,Passenger transport fleet_direct,1665414.9359499998,2003108.9848999996,0.41513910715685276,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-30,Low,Low,38.6258758321199,-0.005585033594476492,0.38625875832119905,base,0.7065727699530516,0.5216637781629117,0.6141182740579816,Capital costs fossil_direct,0.9285777317801562,1.0637085200928436,0.0,0.9463081402899325,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of Heavy and Light Freight Transport_direct,22-30,High,Low,18.11239055308459,0.009996935334069555,0.1811239055308459,base,0.7294807370184254,0.9954285714285714,0.8624546542234984,Penetration of Hydrogen in Freight Transport_direct,0.0,0.030658167375883488,0.0,0.19783385198940995,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of Heavy and Light Freight Transport_direct,22-30,High,Low,18.11239055308459,0.009996935334069555,0.1811239055308459,base,0.7294807370184254,0.9954285714285714,0.8624546542234984,Electrification of Heavy Freight_direct,0.0,0.029390921245778454,0.0,0.18070928632364114,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of Heavy and Light Freight Transport_direct,22-30,High,Low,18.11239055308459,0.009996935334069555,0.1811239055308459,base,0.7294807370184254,0.9954285714285714,0.8624546542234984,Electrification of Light Freight_direct,0.0014983994327365643,0.047753440423333,0.0,0.2711533759437116,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of passenger transport_direct,22-30,High,Low,48.604869284511295,0.02184866677493054,0.486048692845113,base,0.8622881355932204,1.0,0.9311440677966102,Electrification of Private Transport_direct,0.0014656463699823973,0.05550217993665592,0.0,0.5124868968009159,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of passenger transport_direct,22-30,High,Low,48.604869284511295,0.02184866677493054,0.486048692845113,base,0.8622881355932204,1.0,0.9311440677966102,Electrification of Public Transport_direct,0.0,0.11168945755555078,0.0,0.43187184983648386,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of Heavy and Light Freight Transport_direct,22-30,High,Low,28.884519999384782,0.015753345692204834,0.28884519999384783,base,0.7335384615384616,0.998324958123953,0.8659317098312074,Penetration of Hydrogen in Freight Transport_direct,0.0,0.05171454302729538,0.0,0.3337083761572066,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of Heavy and Light Freight Transport_direct,22-30,High,Low,28.884519999384782,0.015753345692204834,0.28884519999384783,base,0.7335384615384616,0.998324958123953,0.8659317098312074,Electrification of Heavy Freight_direct,0.0,0.042459251325522765,0.0,0.26105956124030677,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of Heavy and Light Freight Transport_direct,22-30,High,Low,28.884519999384782,0.015753345692204834,0.28884519999384783,base,0.7335384615384616,0.998324958123953,0.8659317098312074,Electrification of Light Freight_direct,0.0014983994327365643,0.05355425226862191,0.0,0.3051585282769271,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,Generation cost average_direct,22-30,High,Low,57.481405929770915,13.354659319930509,0.5748140592977091,base,0.7263652378156195,0.9840891010342084,0.855227169424914,Wind electricity production_direct,0.14202887278715154,0.29190439812267155,0.0,0.7117345561354445,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,Generation cost average_direct,22-30,High,Low,57.481405929770915,13.354659319930509,0.5748140592977091,base,0.7263652378156195,0.9840891010342084,0.855227169424914,Capital cost of energy infrastructure_direct,0.44770437526133733,1.5390496635876385,0.0,0.8138275321824484,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of passenger transport_direct,22-30,Low,High,6.238432059577721,0.003154348475055372,0.062384320595777205,base,0.9696969696969697,0.8757894736842106,0.9227432216905902,Electrification of Private Transport_direct,0.0032928733333172943,0.10690548083986723,0.017329569725915872,1.0,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,Generation cost average_direct,22-30,Low,High,16.14097127344482,9.839473948190893,0.16140971273444818,base,0.7318559556786703,0.9977341389728097,0.86479504732574,Capital cost of energy infrastructure_direct,0.803769909149656,1.7887075303151252,0.26552177192605997,1.0,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,Generation cost average_direct,22-30,Low,High,16.14097127344482,9.839473948190893,0.16140971273444818,base,0.7318559556786703,0.9977341389728097,0.86479504732574,Wind electricity production_direct,0.20312111105934189,0.3526067125780278,0.29011712881498236,1.0,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,o_pure_direct_d_pure_direct,Freight fleet_direct,22-30,Low,Low,81.56082555557155,345454.12425,0.8156082555557156,base,0.9649122807017544,0.9750692520775623,0.9699907663896583,GDP_direct,2.0008972926093502,4.255470376493372,0.0,0.9025703628146192,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,o_pure_direct_d_pure_direct,Passenger transport fleet_direct,22-30,High,Low,70.93314717890453,1835279.2780499998,0.7093314717890453,base,0.7264267990074442,0.9807370184254607,0.8535819087164525,GDP_direct,2.0008972926093502,3.569856344852265,0.0,0.6280993732900495,structured
