REGION,EMISSION,YEAR,VALUE
RD,Health,2048,0.1878262620267408
RD,Health,2049,0.1926712289746464
RD,Health,2050,0.1976316316949558
RD,CO2e_sources,2018,13.810845751681477
RD,CO2e_sources,2019,16.507390155154496
RD,CO2e_sources,2020,23.774707814996155
RD,CO2e_sources,2021,18.46774212845537
RD,CO2e_sources,2022,19.668478459469735
RD,CO2e_sources,2023,19.990426436741615
RD,CO2e_sources,2024,20.870488454958867
RD,CO2e_sources,2025,21.081925384168127
RD,CO2e_sources,2026,21.257824535802328
RD,CO2e_sources,2027,21.434825709665677
RD,CO2e_sources,2028,21.615726924065896
RD,CO2e_sources,2029,21.794390216557588
RD,CO2e_sources,2030,21.972967859065616
RD,CO2e_sources,2031,21.807181686376737
RD,CO2e_sources,2032,21.64145166085986
RD,CO2e_sources,2033,21.47572951534298
RD,CO2e_sources,2034,21.310005099826103
RD,CO2e_sources,2035,21.144228387137225
RD,CO2e_sources,2036,20.978498361620343
RD,CO2e_sources,2037,20.81276675610347
RD,CO2e_sources,2038,20.647002843414597
RD,CO2e_sources,2039,20.481275377897717
RD,CO2e_sources,2040,20.31555096238084
RD,CO2e_sources,2041,19.377799276000804
RD,CO2e_sources,2042,18.440095256792773
RD,CO2e_sources,2043,17.502388677584754
RD,CO2e_sources,2044,16.565565853026637
RD,CO2e_sources,2045,15.62880578057181
RD,CO2e_sources,2046,14.692023778440385
RD,CO2e_sources,2047,13.755214069436764
RD,CO2e_sources,2048,12.818429185036136
RD,CO2e_sources,2049,11.881590698996389
RD,CO2e_sources,2050,10.944803416631215
RD,turismo_residuos,2018,2.2579
RD,turismo_residuos,2019,2.297
RD,turismo_residuos,2020,2.2646
RD,turismo_residuos,2021,2.5015
RD,turismo_residuos,2022,2.6781
RD,turismo_residuos,2023,2.775
RD,turismo_residuos,2024,2.8554
RD,turismo_residuos,2025,2.7185333750111886
RD,turismo_residuos,2026,2.4573116453131862
RD,turismo_residuos,2027,2.174272473997424
RD,turismo_residuos,2028,1.867336863282171
RD,turismo_residuos,2029,1.5404634553930712
RD,turismo_residuos,2030,1.191363680145298
