REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
RD,All,DIST_CRU,1,E1CRU,2045,443.1800450899288
RD,All,DIST_CRU,1,E1CRU,2046,450.7053431628467
RD,All,DIST_CRU,1,E1CRU,2047,458.3050601525222
RD,All,DIST_CRU,1,E1CRU,2048,466.2273049526386
RD,All,DIST_CRU,1,E1CRU,2049,476.42329358725647
RD,All,DIST_CRU,1,E1CRU,2050,484.36752728839735
RD,All,DIST_NGS,1,E1NGS,2018,25.11103264309872
RD,All,DIST_NGS,1,E1NGS,2019,25.01036810515105
RD,All,DIST_NGS,1,E1NGS,2020,28.174959445935055
RD,All,DIST_NGS,1,E1NGS,2021,35.78022451505305
RD,All,DIST_NGS,1,E1NGS,2022,34.02345229036644
RD,All,DIST_NGS,1,E1NGS,2023,33.42471449183593
RD,All,DIST_NGS,1,E1NGS,2024,47.158064793716285
RD,All,DIST_NGS,1,E1NGS,2025,48.958067803834254
RD,All,DIST_NGS,1,E1NGS,2026,50.70349845378425
RD,All,DIST_NGS,1,E1NGS,2027,52.450112353879405
RD,All,DIST_NGS,1,E1NGS,2028,54.20022498175479
RD,All,DIST_NGS,1,E1NGS,2029,55.94836175859391
RD,All,DIST_NGS,1,E1NGS,2030,57.696301979556885
RD,All,DIST_NGS,1,E1NGS,2031,59.40681331008787
RD,All,DIST_NGS,1,E1NGS,2032,61.11722464061885
RD,All,DIST_NGS,1,E1NGS,2033,62.82773597114984
RD,All,DIST_NGS,1,E1NGS,2034,64.53824730168083
RD,All,DIST_NGS,1,E1NGS,2035,66.2487586322118
RD,All,DIST_NGS,1,E1NGS,2036,67.95916996274279
RD,All,DIST_NGS,1,E1NGS,2037,69.66968129327377
RD,All,DIST_NGS,1,E1NGS,2038,71.38029262380476
RD,All,DIST_NGS,1,E1NGS,2039,73.09070395433572
RD,All,DIST_NGS,1,E1NGS,2040,74.80121528486671
RD,All,DIST_NGS,1,E1NGS,2041,76.41358625425276
RD,All,DIST_NGS,1,E1NGS,2042,78.02595722363881
RD,All,DIST_NGS,1,E1NGS,2043,79.63832819302483
RD,All,DIST_NGS,1,E1NGS,2044,81.26737940879082
RD,All,DIST_NGS,1,E1NGS,2045,82.89645352885786
RD,All,DIST_NGS,1,E1NGS,2046,84.52525974025107
RD,All,DIST_NGS,1,E1NGS,2047,86.15459037766577
RD,All,DIST_NGS,1,E1NGS,2048,87.78334521171132
RD,All,DIST_NGS,1,E1NGS,2049,89.41199426202925
RD,All,DIST_NGS,1,E1NGS,2050,91.04057818761602
RD,All,DIST_COK,1,E1COK,2018,7.9675
RD,All,DIST_COK,1,E1COK,2019,16.889
RD,All,DIST_COK,1,E1COK,2020,16.5041
RD,All,DIST_COK,1,E1COK,2021,18.6381
RD,All,DIST_COK,1,E1COK,2022,18.7909
RD,All,DIST_COK,1,E1COK,2023,18.7358
RD,All,DIST_COK,1,E1COK,2024,19.4224
RD,All,DIST_COK,1,E1COK,2025,20.1124
RD,All,DIST_COK,1,E1COK,2026,20.5542
