REGION,TECHNOLOGY,VALUE
RD,T4ELE_PUB,101.50159328346336
RD,T4DSL_TUR,214.0249319772728
RD,T4LPG_TUR,126.43489294232609
RD,T4ELE_TUR,5.873550289196547
RD,T4ELE_HEA,4.3295447354121785
RD,T4DSL_HEA,552.4923757935483
RD,T4GSL_HEA,0.1907452499999999
RD,T4LPG_HEA,15.366414608566313
RD,T4NGS_HEA,0.4641162229390741
RD,T4DSL_LIG,1083.4942527374192
RD,T4GSL_LIG,560.5163322292472
RD,T4LPG_LIG,215.5747254700001
RD,T4ELE_LIG,25.36688538172051
RD,TRAUTDSL,8.345399999999998
RD,TRAUTGSL,661.8854000000001
RD,TRAUTLPG,191.9479
RD,TRAUTELE,0.0592
RD,TRAUTHG,12.5185
RD,TRTAXGSL,16.357400000000002
RD,TRTAXLPG,69.84859999999999
RD,TRMOTGSL,1145.6792999999998
RD,TRMOTELE,47.18311890546383
RD,TRSUVDSL,50.2556
RD,TRSUVGSL,334.16767191655686
RD,TRSUVLPG,91.2191
RD,TRSUVNGS,0.5474
RD,TRBPUDSL,21.284103849650347
RD,TRBPUGSL,39.5074
RD,TRBPULPG,12.286236650648306
RD,TRBPUELE,0.592074603779779
RD,TRBTURDSL,23.331109090909088
RD,TRBTURGSL,43.2985
RD,TRBTURLPG,14.121792476537031
RD,TRBTURELE,1.0732024849074198
RD,TRMBSDSL,180.3978
RD,TRMBSGSL,196.8897000000001
RD,TRMBSLPG,57.543400000000005
RD,TRMBSELE,21.704110319103055
RD,TRYTKDSL,68.72468207885305
RD,TRYTKGSL,0.699
RD,TRYTKLPG,1.9751663082437276
RD,TRYTKELE,1.8006777777777745
RD,TRYTKHYD,0.3074182795698963
RD,TRYLFDSL,321.52581935483863
RD,TRYLFGSL,138.01243978494628
RD,TRYLFLPG,95.63463870967745
RD,TRYLFELE,26.180374193548456
RD,Techs_Auto,874.7564
RD,Techs_Taxi,86.20330000000001
RD,Techs_Motos,1192.862418905464
RD,Techs_SUV,476.1897719165568
RD,Techs_Buses_Pub,73.65981510407843
RD,Techs_Buses_Tur,81.77870679051352
