,Parameter,YEAR,TECHNOLOGY,FUEL,EMISSION,VALUE
95,AccumulatedNewCapacity,2047,DIST_BGS,,,22.552247
96,AccumulatedNewCapacity,2048,DIST_BGS,,,23.383038
97,AccumulatedNewCapacity,2049,DIST_BGS,,,56.118287
98,AccumulatedNewCapacity,2050,DIST_BGS,,,58.289585
99,AccumulatedNewCapacity,2018,DIST_CRU,,,41.3131
100,AccumulatedNewCapacity,2019,DIST_CRU,,,38.84
101,AccumulatedNewCapacity,2020,DIST_CRU,,,15.8675
102,AccumulatedNewCapacity,2021,DIST_CRU,,,39.1903
103,AccumulatedNewCapacity,2022,DIST_CRU,,,39.1903
104,AccumulatedNewCapacity,2023,DIST_CRU,,,39.1903
105,AccumulatedNewCapacity,2024,DIST_CRU,,,39.1903
106,AccumulatedNewCapacity,2025,DIST_CRU,,,39.1903
107,AccumulatedNewCapacity,2026,DIST_CRU,,,39.1903
108,AccumulatedNewCapacity,2027,DIST_CRU,,,39.1903
109,AccumulatedNewCapacity,2028,DIST_CRU,,,39.1903
110,AccumulatedNewCapacity,2029,DIST_CRU,,,39.1903
111,AccumulatedNewCapacity,2030,DIST_CRU,,,39.1903
112,AccumulatedNewCapacity,2031,DIST_CRU,,,39.1903
113,AccumulatedNewCapacity,2032,DIST_CRU,,,39.1903
114,AccumulatedNewCapacity,2033,DIST_CRU,,,39.1903
115,AccumulatedNewCapacity,2034,DIST_CRU,,,39.1903
116,AccumulatedNewCapacity,2035,DIST_CRU,,,39.1903
117,AccumulatedNewCapacity,2036,DIST_CRU,,,39.1903
118,AccumulatedNewCapacity,2037,DIST_CRU,,,39.1903
119,AccumulatedNewCapacity,2038,DIST_CRU,,,39.1903
120,AccumulatedNewCapacity,2039,DIST_CRU,,,39.2975
121,AccumulatedNewCapacity,2040,DIST_CRU,,,39.2975
122,AccumulatedNewCapacity,2041,DIST_CRU,,,39.2975
123,AccumulatedNewCapacity,2042,DIST_CRU,,,39.2975
124,AccumulatedNewCapacity,2043,DIST_CRU,,,39.2975
125,AccumulatedNewCapacity,2044,DIST_CRU,,,39.2975
126,AccumulatedNewCapacity,2045,DIST_CRU,,,39.2975
127,AccumulatedNewCapacity,2046,DIST_CRU,,,39.4432
128,AccumulatedNewCapacity,2047,DIST_CRU,,,39.4432
129,AccumulatedNewCapacity,2048,DIST_CRU,,,39.4432
130,AccumulatedNewCapacity,2049,DIST_CRU,,,39.4432
131,AccumulatedNewCapacity,2050,DIST_CRU,,,39.4432
132,AccumulatedNewCapacity,2018,DIST_NGS,,,25.321338
133,AccumulatedNewCapacity,2019,DIST_NGS,,,26.455649
134,AccumulatedNewCapacity,2020,DIST_NGS,,,29.564241
135,AccumulatedNewCapacity,2021,DIST_NGS,,,37.186266
136,AccumulatedNewCapacity,2022,DIST_NGS,,,35.448189
137,AccumulatedNewCapacity,2023,DIST_NGS,,,41.303815
138,AccumulatedNewCapacity,2024,DIST_NGS,,,39.152192
139,AccumulatedNewCapacity,2025,DIST_NGS,,,41.735833
140,AccumulatedNewCapacity,2026,DIST_NGS,,,42.855801
141,AccumulatedNewCapacity,2027,DIST_NGS,,,50.711685
142,AccumulatedNewCapacity,2028,DIST_NGS,,,51.232384
143,AccumulatedNewCapacity,2029,DIST_NGS,,,51.745464
144,AccumulatedNewCapacity,2030,DIST_NGS,,,52.257583
145,AccumulatedNewCapacity,2031,DIST_NGS,,,55.909583
146,AccumulatedNewCapacity,2032,DIST_NGS,,,61.871552
147,AccumulatedNewCapacity,2033,DIST_NGS,,,63.098998
148,AccumulatedNewCapacity,2034,DIST_NGS,,,64.330466
149,AccumulatedNewCapacity,2035,DIST_NGS,,,65.566206
150,AccumulatedNewCapacity,2036,DIST_NGS,,,65.393584
