Strategy,Future.ID,Technology,Fuel,Fuel_Surname,Year,Age,Actor,Actor_Type,Owner,GorS,DAI,Customs,SC,VAT-Imports,Total Import Taxes,GE,Vehicle Purchase,Property Tax,IUC,VAT-Electricity,H2,VKT,Energy Sales and Purchases,Investments and FOM,Variable Costs,Service Sales,Service Purchases,Investments,FOM,DAI Disc,Customs Disc,SC Disc,VAT-Imports Disc,Total Import Taxes Disc,GE Disc,Vehicle Purchase Disc,Property Tax Disc,IUC Disc,VAT-Electricity Disc,H2 Disc,VKT Disc,Energy Sales and Purchases Disc,Investments and FOM Disc,Variable Costs Disc,Service Sales Disc,Service Purchases Disc,Investments Disc,FOM Disc,Energy Price,Energy Price wTax,Energy Tax,Service Price,U SC,U Total Import Taxes,U Market Price,U CIF,Q Imports,U VKT,Q Total,U Property Tax,FV,GDP
BAU,0,,,,2018,,light_truck_companies,Type_4,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0185,121.5418,0.0,0.0,0.0,253.85569999999998,804.559,0.0,0.0,0.0,0.0,804.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0185,121.5418,0.0,0.0,0.0,253.85569999999998,804.559,0.0,0.0,0.0,0.0,804.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,private_transport_owners,Type_4,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.39190000000001,121.00439999999999,0.0,0.0,0.0,199.5186,197.427,0.0,0.0,0.0,0.0,197.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.39190000000001,121.00439999999999,0.0,0.0,0.0,199.5186,197.427,0.0,0.0,0.0,0.0,197.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,private_transport_owners,Type_4,Q1_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1071,30.0006,0.0,0.0,0.0,49.5861,43.5539,0.0,0.0,0.0,0.0,43.5539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1071,30.0006,0.0,0.0,0.0,49.5861,43.5539,0.0,0.0,0.0,0.0,43.5539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,private_transport_owners,Type_4,Q2_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6297,44.154799999999994,0.0,0.0,0.0,69.4555,59.1941,0.0,0.0,0.0,0.0,59.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6297,44.154799999999994,0.0,0.0,0.0,69.4555,59.1941,0.0,0.0,0.0,0.0,59.1941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,private_transport_owners,Type_4,Q3_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4404,58.825700000000005,0.0,0.0,0.0,95.35929999999999,86.1578,0.0,0.0,0.0,0.0,86.1578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4404,58.825700000000005,0.0,0.0,0.0,95.35929999999999,86.1578,0.0,0.0,0.0,0.0,86.1578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,private_transport_owners,Type_4,Q4_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.274800000000003,89.43499999999999,0.0,0.0,0.0,147.1372,145.2159,0.0,0.0,0.0,0.0,145.2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.274800000000003,89.43499999999999,0.0,0.0,0.0,147.1372,145.2159,0.0,0.0,0.0,0.0,145.2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,private_transport_owners,Type_4,Q5_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.72370000000001,140.5971,0.0,0.0,0.0,237.0173,258.15930000000003,0.0,0.0,0.0,0.0,258.15930000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.72370000000001,140.5971,0.0,0.0,0.0,237.0173,258.15930000000003,0.0,0.0,0.0,0.0,258.15930000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,public_transport_users,Type_5,Q1_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,public_transport_users,Type_5,Q2_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
BAU,0,,,,2018,,public_transport_users,Type_5,Q3_Households,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.6582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.6582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62989.20619195722
