,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
41,2026.0,DIST_BIM,,,18.000353150000002,,,,,414.5661333976501,,,,,18.000353150000002,,,18.000353150000002,,,,,,18.000353150000002,18.000353150000002,,18.000353150000002,,
42,2027.0,DIST_BIM,,,39.48304096,,,,,890.1056754022399,,,,,39.48304096,,,39.48304096,,,,,,39.48304096,39.48304096,,39.48304096,,
43,2028.0,DIST_BIM,,,39.17734249,,,,,864.138561036179,,,,,39.17734249,,,39.17734249,,,,,,39.17734249,39.17734249,,39.17734249,,
44,2029.0,DIST_BIM,,,38.88540205,,,,,838.7658992989097,,,,,38.88540205,,,38.88540205,,,,,,38.88540205,38.88540205,,38.88540205,,
45,2030.0,DIST_BIM,,,38.60817795,,,,,813.9877981732349,,,,,38.60817795,,,38.60817795,,,,,,38.60817795,38.60817795,,38.60817795,,
46,2031.0,DIST_BIM,,,38.27597019,,,,,788.3433648242969,,,,,38.27597019,,,38.27597019,,,,,,38.27597019,38.27597019,,38.27597019,,
47,2032.0,DIST_BIM,,,37.95752046,,,,,763.3029619383238,,,,,37.95752046,,,37.95752046,,,,,,37.95752046,37.95752046,,37.95752046,,
48,2033.0,DIST_BIM,,,37.65388707,,,,,738.863399031075,,,,,37.65388707,,,37.65388707,,,,,,37.65388707,37.65388707,,37.65388707,,
49,2034.0,DIST_BIM,,,37.36401171,,,,,714.982782477876,,,,,37.36401171,,,37.36401171,,,,,,37.36401171,37.36401171,,37.36401171,,
50,2035.0,DIST_BIM,,,37.08895269,,,,,691.657043134734,,,,,37.08895269,,,37.08895269,,,,,,37.08895269,37.08895269,,37.08895269,,
51,2036.0,DIST_BIM,,,36.82871001,,,,,668.871982588617,,,,,36.82871001,,,36.82871001,,,,,,36.82871001,36.82871001,,36.82871001,,
52,2037.0,DIST_BIM,,,36.581167050000005,,,,,646.5648113753401,,,,,36.581167050000005,,,36.581167050000005,,,,,,36.581167050000005,36.581167050000005,,36.581167050000005,,
53,2038.0,DIST_BIM,,,36.34949874,,,,,624.771549393246,,,,,36.34949874,,,36.34949874,,,,,,36.34949874,36.34949874,,36.34949874,,
54,2039.0,DIST_BIM,,,36.13148846,,,,,603.428375621614,,,,,36.13148846,,,36.13148846,,,,,,36.13148846,36.13148846,,36.13148846,,
55,2040.0,DIST_BIM,,,35.92839452,,,,,582.5429887472799,,,,,35.92839452,,,35.92839452,,,,,,35.92839452,35.92839452,,35.92839452,,
56,2041.0,DIST_BIM,,,35.675100300000004,,,,,561.06586992813,,,,,35.675100300000004,,,35.675100300000004,,,,,,35.675100300000004,35.675100300000004,,35.675100300000004,,
57,2042.0,DIST_BIM,,,35.43873904,,,,,540.093470717408,,,,,35.43873904,,,35.43873904,,,,,,35.43873904,35.43873904,,35.43873904,,
58,2043.0,DIST_BIM,,,35.2150775,,,,,519.535081373,,,,,35.2150775,,,35.2150775,,,,,,35.2150775,35.2150775,,35.2150775,,
59,2044.0,DIST_BIM,,,35.00517399,,,,,499.39431369353696,,,,,35.00517399,,,35.00517399,,,,,,35.00517399,35.00517399,,35.00517399,,
60,2045.0,DIST_BIM,,,34.81008682,,,,,479.66211032750806,,,,,34.81008682,,,34.81008682,,,,,,34.81008682,34.81008682,,34.81008682,,
61,2046.0,DIST_BIM,,,34.6308743,,,,,460.33089663275007,,,,,34.6308743,,,34.6308743,,,,,,34.6308743,34.6308743,,34.6308743,,
62,2047.0,DIST_BIM,,,34.4643615,,,,,441.33338118825,,,,,34.4643615,,,34.4643615,,,,,,34.4643615,34.4643615,,34.4643615,,
63,2048.0,DIST_BIM,,,34.31266504,,,,,422.683995561744,,,,,34.31266504,,,34.31266504,,,,,,34.31266504,34.31266504,,34.31266504,,
64,2049.0,DIST_BIM,,,34.17462661,,,,,404.34392966153695,,,,,34.17462661,,,34.17462661,,,,,,34.17462661,34.17462661,,34.17462661,,
65,2050.0,DIST_BIM,,,34.05256283,,,,,386.319514793784,,,,,34.05256283,,,34.05256283,,,,,,34.05256283,34.05256283,,34.05256283,,
66,2018.0,DIST_BGS,,,27.50591028864001,,,,,,,,,,27.50591028864001,,,27.50591028864001,,,,,,27.50591028864001,27.50591028864001,,27.50591028864001,,
67,2019.0,DIST_BGS,,,22.591999999999995,,,,,,,,,,22.591999999999995,,,22.591999999999995,,,,,,22.591999999999995,22.591999999999995,,22.591999999999995,,
68,2020.0,DIST_BGS,,,17.40799999999999,,,,,,,,,,17.40799999999999,,,17.40799999999999,,,,,,17.40799999999999,17.40799999999999,,17.40799999999999,,
69,2021.0,DIST_BGS,,,7.645900000000003,,,,,,,,,,7.645900000000003,,,7.645900000000003,,,,,,7.645900000000003,7.645900000000003,,7.645900000000003,,
70,2022.0,DIST_BGS,,,5.1115999999999975,,,,,,,,,,5.1115999999999975,,,5.1115999999999975,,,,,,5.1115999999999975,5.1115999999999975,,5.1115999999999975,,
71,2033.0,DIST_BGS,,,0.6350575833599974,,,,,,,,,,0.6350575833599974,,,0.6350575833599974,,,,,,0.6350575833599974,0.6350575833599974,,0.6350575833599974,,
72,2034.0,DIST_BGS,,,3.164387345760041,,,,,,,,,,3.164387345760041,,,3.164387345760041,,,,,,3.164387345760041,3.164387345760041,,3.164387345760041,,
73,2035.0,DIST_BGS,,,5.601720028160013,,,,,,,,,,5.601720028160013,,,5.601720028160013,,,,,,5.601720028160013,5.601720028160013,,5.601720028160013,,
74,2036.0,DIST_BGS,,,7.959896890560001,,,,,,,,,,7.959896890560001,,,7.959896890560001,,,,,,7.959896890560001,7.959896890560001,,7.959896890560001,,
75,2037.0,DIST_BGS,,,10.263232100799977,,,,,,,,,,10.263232100799977,,,10.263232100799977,,,,,,10.263232100799977,10.263232100799977,,10.263232100799977,,
76,2038.0,DIST_BGS,,,12.497935483200006,,,,,,,,,,12.497935483200006,,,12.497935483200006,,,,,,12.497935483200006,12.497935483200006,,12.497935483200006,,
77,2039.0,DIST_BGS,,,14.685872215600032,,,,,,,,,,14.685872215600032,,,14.685872215600032,,,,,,14.685872215600032,14.685872215600032,,14.685872215600032,,
78,2040.0,DIST_BGS,,,16.835513347999978,,,,,,,,,,16.835513347999978,,,16.835513347999978,,,,,,16.835513347999978,16.835513347999978,,16.835513347999978,,
79,2041.0,DIST_BGS,,,19.16296163039999,,,,,,,,,,19.16296163039999,,,19.16296163039999,,,,,,19.16296163039999,19.16296163039999,,19.16296163039999,,
80,2042.0,DIST_BGS,,,21.4495508128,,,,,,,,,,21.4495508128,,,21.4495508128,,,,,,21.4495508128,21.4495508128,,21.4495508128,,
81,2043.0,DIST_BGS,,,23.703181795199992,,,,,,,,,,23.703181795199992,,,23.703181795199992,,,,,,23.703181795199992,23.703181795199992,,23.703181795199992,,
82,2044.0,DIST_BGS,,,25.93049997759999,,,,,,,,,,25.93049997759999,,,25.93049997759999,,,,,,25.93049997759999,25.93049997759999,,25.93049997759999,,
83,2045.0,DIST_BGS,,,28.13726025999994,,,,,,,,,,28.13726025999994,,,28.13726025999994,,,,,,28.13726025999994,28.13726025999994,,28.13726025999994,,
84,2046.0,DIST_BGS,,,30.32899794240001,,,,,,,,,,30.32899794240001,,,30.32899794240001,,,,,,30.32899794240001,30.32899794240001,,30.32899794240001,,
85,2047.0,DIST_BGS,,,32.51089522479998,,,,,,,,,,32.51089522479998,,,32.51089522479998,,,,,,32.51089522479998,32.51089522479998,,32.51089522479998,,
86,2048.0,DIST_BGS,,,34.687443807200026,,,,,,,,,,34.687443807200026,,,34.687443807200026,,,,,,34.687443807200026,34.687443807200026,,34.687443807200026,,
87,2049.0,DIST_BGS,,,36.86295228959996,,,,,,,,,,36.86295228959996,,,36.86295228959996,,,,,,36.86295228959996,36.86295228959996,,36.86295228959996,,
88,2050.0,DIST_BGS,,,39.040520672,,,,,,,,,,39.040520672,,,39.040520672,,,,,,39.040520672,39.040520672,,39.040520672,,
89,2018.0,DIST_CRU,,,252.70601391666668,,,,,,,,,,252.70601391666668,,,252.70601391666668,,,,,,252.70601391666668,252.70601391666668,,252.70601391666668,,
90,2019.0,DIST_CRU,,,276.460810731434,,,,,,,,,,276.460810731434,,,276.460810731434,,,,,,276.460810731434,276.460810731434,,276.460810731434,,
91,2020.0,DIST_CRU,,,265.51419096939696,,,,,,,,,,265.51419096939696,,,265.51419096939696,,,,,,265.51419096939696,265.51419096939696,,265.51419096939696,,
92,2021.0,DIST_CRU,,,279.14002406465966,,,,,,,,,,279.14002406465966,,,279.14002406465966,,,,,,279.14002406465966,279.14002406465966,,279.14002406465966,,
93,2022.0,DIST_CRU,,,306.83975481241373,,,,,,,,,,306.83975481241373,,,306.83975481241373,,,,,,306.83975481241373,306.83975481241373,,306.83975481241373,,
94,2023.0,DIST_CRU,,,307.43855032033684,,,,,,,,,,307.43855032033684,,,307.43855032033684,,,,,,307.43855032033684,307.43855032033684,,307.43855032033684,,
95,2024.0,DIST_CRU,,,330.45455665863824,,,,,,,,,,330.45455665863824,,,330.45455665863824,,,,,,330.45455665863824,330.45455665863824,,330.45455665863824,,
96,2025.0,DIST_CRU,,,336.5263124338789,,,,,,,,,,336.5263124338789,,,336.5263124338789,,,,,,336.5263124338789,336.5263124338789,,336.5263124338789,,
97,2026.0,DIST_CRU,,,343.30899176855627,,,,,,,,,,343.30899176855627,,,343.30899176855627,,,,,,343.30899176855627,343.30899176855627,,343.30899176855627,,
98,2027.0,DIST_CRU,,,357.1901148327347,,,,,,,,,,357.1901148327347,,,357.1901148327347,,,,,,357.1901148327347,357.1901148327347,,357.1901148327347,,
99,2028.0,DIST_CRU,,,366.4000803188834,,,,,,,,,,366.4000803188834,,,366.4000803188834,,,,,,366.4000803188834,366.4000803188834,,366.4000803188834,,
100,2029.0,DIST_CRU,,,376.3797637796946,,,,,,,,,,376.3797637796946,,,376.3797637796946,,,,,,376.3797637796946,376.3797637796946,,376.3797637796946,,
101,2030.0,DIST_CRU,,,386.80356973163794,,,,,,,,,,386.80356973163794,,,386.80356973163794,,,,,,386.80356973163794,386.80356973163794,,386.80356973163794,,
102,2031.0,DIST_CRU,,,399.5134995517169,,,,,,,,,,399.5134995517169,,,399.5134995517169,,,,,,399.5134995517169,399.5134995517169,,399.5134995517169,,
103,2032.0,DIST_CRU,,,416.385243486646,,,,,,,,,,416.385243486646,,,416.385243486646,,,,,,416.385243486646,416.385243486646,,416.385243486646,,
104,2033.0,DIST_CRU,,,429.1214798029292,,,,,,,,,,429.1214798029292,,,429.1214798029292,,,,,,429.1214798029292,429.1214798029292,,429.1214798029292,,
105,2034.0,DIST_CRU,,,440.75073327907984,,,,,,,,,,440.75073327907984,,,440.75073327907984,,,,,,440.75073327907984,440.75073327907984,,440.75073327907984,,
106,2035.0,DIST_CRU,,,451.2147501923823,,,,,,,,,,451.2147501923823,,,451.2147501923823,,,,,,451.2147501923823,451.2147501923823,,451.2147501923823,,
107,2036.0,DIST_CRU,,,460.161707876913,,,,,,,,,,460.161707876913,,,460.161707876913,,,,,,460.161707876913,460.161707876913,,460.161707876913,,
108,2037.0,DIST_CRU,,,467.7422266746853,,,,,,,,,,467.7422266746853,,,467.7422266746853,,,,,,467.7422266746853,467.7422266746853,,467.7422266746853,,
109,2038.0,DIST_CRU,,,474.6970689834008,,,,,,,,,,474.6970689834008,,,474.6970689834008,,,,,,474.6970689834008,474.6970689834008,,474.6970689834008,,
110,2039.0,DIST_CRU,,,482.0462093130652,,,,,,,,,,482.0462093130652,,,482.0462093130652,,,,,,482.0462093130652,482.0462093130652,,482.0462093130652,,
111,2040.0,DIST_CRU,,,490.56617725972575,,,,,,,,,,490.56617725972575,,,490.56617725972575,,,,,,490.56617725972575,490.56617725972575,,490.56617725972575,,
112,2041.0,DIST_CRU,,,500.5266141183719,,,,,,,,,,500.5266141183719,,,500.5266141183719,,,,,,500.5266141183719,500.5266141183719,,500.5266141183719,,
113,2042.0,DIST_CRU,,,511.98452719288827,,,,,,,,,,511.98452719288827,,,511.98452719288827,,,,,,511.98452719288827,511.98452719288827,,511.98452719288827,,
114,2043.0,DIST_CRU,,,522.6847524721438,,,,,,,,,,522.6847524721438,,,522.6847524721438,,,,,,522.6847524721438,522.6847524721438,,522.6847524721438,,
115,2044.0,DIST_CRU,,,534.0520045545052,,,,,,,,,,534.0520045545052,,,534.0520045545052,,,,,,534.0520045545052,534.0520045545052,,534.0520045545052,,
116,2045.0,DIST_CRU,,,545.8142012699469,,,,,,,,,,545.8142012699469,,,545.8142012699469,,,,,,545.8142012699469,545.8142012699469,,545.8142012699469,,
117,2046.0,DIST_CRU,,,557.7861569104256,,,,,,,,,,557.7861569104256,,,557.7861569104256,,,,,,557.7861569104256,557.7861569104256,,557.7861569104256,,
118,2047.0,DIST_CRU,,,569.8348590041102,,,,,,,,,,569.8348590041102,,,569.8348590041102,,,,,,569.8348590041102,569.8348590041102,,569.8348590041102,,
119,2048.0,DIST_CRU,,,582.2427565924454,,,,,,,,,,582.2427565924454,,,582.2427565924454,,,,,,582.2427565924454,582.2427565924454,,582.2427565924454,,
120,2049.0,DIST_CRU,,,599.2662205959014,,,,,,,,,,599.2662205959014,,,599.2662205959014,,,,,,599.2662205959014,599.2662205959014,,599.2662205959014,,
121,2050.0,DIST_CRU,,,611.7789880047974,,,,,,,,,,611.7789880047974,,,611.7789880047974,,,,,,611.7789880047974,611.7789880047974,,611.7789880047974,,
122,2018.0,DIST_NGS,,,25.11103264309872,,,,,135.36604366915225,,,,,25.11103264309872,,,25.11103264309872,,,,,,25.11103264309872,25.11103264309872,,25.11103264309872,,
123,2019.0,DIST_NGS,,,25.01036810515105,,,,,116.21317643739486,,,,,25.01036810515105,,,25.01036810515105,,,,,,25.01036810515105,25.01036810515105,,25.01036810515105,,
124,2020.0,DIST_NGS,,,28.174959445935052,,,,,180.5000601944384,,,,,28.174959445935052,,,28.174959445935052,,,,,,28.174959445935052,28.174959445935052,,28.174959445935052,,
125,2021.0,DIST_NGS,,,35.78022451505305,,,,,332.16571428549497,,,,,35.78022451505305,,,35.78022451505305,,,,,,35.78022451505305,35.78022451505305,,35.78022451505305,,
126,2022.0,DIST_NGS,,,34.02345229036644,,,,,702.5842897960669,,,,,34.02345229036644,,,34.02345229036644,,,,,,34.02345229036644,34.02345229036644,,34.02345229036644,,
